Species ID,common_name
ACAD-1302,Townsend's Warbler
ACAD-1303,Black-Throated Green Warbler
ACAD-1303,Northern Black-Throated Green Warbler
ACAD-1304,Common Yellowthroat
ACAD-1304,Maryland Yellow Throat
ACAD-1304,Maryland Yellowthroat
ACAD-1304,Northern Yellowthroat
ACAD-1304,Northern Yellow-Throat
ACAD-1304,Yellowthroat
ACAD-1304,Yellow-Throat
ACAD-1305,Worm-Eating Warbler
ACAD-1306,Yellow-Breasted Chat
ACAD-1307,Black And White Creeper
ACAD-1307,Black And White Warbler
ACAD-1307,Black-And-White Warbler
ACAD-1308,Connecticut Warbler
ACAD-1309,Kentucky Warbler
ACAD-1310,Mourning Warbler
ACAD-1311,Northern Parula
ACAD-1311,Northern Parula Warbler
ACAD-1311,Parula Warbler
ACAD-1312,Prothonotary Warbler
ACAD-1313,Common Oven-Bird
ACAD-1313,Ovenbird
ACAD-1314,Louisiana Waterthrush
ACAD-1314,Louisiana Water-Thrush
ACAD-1315,Northern Waterthrush
ACAD-1315,Northern Water-Thrush
ACAD-1316,American Redstart
ACAD-1316,Redstart
ACAD-1317,Eastern Orange-Crowned Warbler
ACAD-1317,Orange-Crowned Warbler
ACAD-1318,Golden-Winged Warbler
ACAD-1319,Tennessee Warbler
ACAD-1320,Blue-Winged Warbler
ACAD-1321,Eastern Nashville Warbler
ACAD-1321,Nashville Warbler
ACAD-1322,Canada Warbler
ACAD-1323,Hooded Warbler
ACAD-1324,Wilson's Pileolated Warbler
ACAD-1324,Wilson's Warbler
ACAD-1325,English Sparrow
ACAD-1325,European House Sparrow
ACAD-1325,House Sparrow
ACAD-1326,Blue-Gray Gnatcatcher
ACAD-1327,Eastern Ruby-Crowned Kinglet
ACAD-1327,Ruby-Crowned Kinglet
ACAD-1328,Eastern Golden-Crowned Kinglet
ACAD-1328,Golden-Crowned Kinglet
ACAD-1329,Red-Breasted Nuthatch
ACAD-1330,Eastern White-Breasted Nuthatch
ACAD-1330,White-Breasted Nuthatch
ACAD-1331,Common Starling
ACAD-1331,European Starling
ACAD-1331,Starling
ACAD-1332,Long-Billed Marsh Wren
ACAD-1332,Marsh Wren
ACAD-1332,Prairie Marsh Wren
ACAD-1333,Sedge Wren
ACAD-1333,Short-Billed Marsh Wren
ACAD-1333,Short-Billed Sedge Wren
ACAD-1334,Bewick's Wren
ACAD-1334,Eastern Bewick's Wren
ACAD-1335,Carolina Wren
ACAD-1335,Northern Carolina Wren
ACAD-1336,Eastern House Wren
ACAD-1336,House Wren
ACAD-1337,Eastern Winter Wren
ACAD-1337,Winter Wren
ACAD-1338,Bicknell's Gray-Cheeked Thrush
ACAD-1338,Bicknell's Thrush
ACAD-1339,Eastern Veery
ACAD-1339,Veery
ACAD-1339,Wilson's Thrush
ACAD-1340,Eastern Hermit Thrush
ACAD-1340,Hermit Thrush
ACAD-1341,Gray-Cheeked Thrush
ACAD-1341,Northern Gray-Cheeked Thrush
ACAD-1342,Olive-Backed Swainson's Thrush
ACAD-1342,Olive-Backed Thrush
ACAD-1342,Swainson's Thrush
ACAD-1343,Wood Thrush
ACAD-1344,Varied Thrush
ACAD-1345,Townsend's Solitaire
ACAD-1346,Bluebird
ACAD-1346,Eastern Bluebird
ACAD-1347,American Robin
ACAD-1347,Eastern Robin
ACAD-1348,Olive-Sided Flycatcher
ACAD-1349,Eastern Wood Pewee
ACAD-1349,Wood Pewee
ACAD-1350,Alder Flycatcher
ACAD-1351,Yellow-Bellied Flycatcher
ACAD-1352,Chebec
ACAD-1352,Least Flycatcher
ACAD-1353,Alder Traill's Flycatcher
ACAD-1353,Traills Flycatcher
ACAD-1353,Willow Flycatcher
ACAD-1354,Ash-Throated Flycatcher
ACAD-1355,Crested Flycatcher
ACAD-1355,Great Crested Flycatcher
ACAD-1355,Northern Crested Flycatcher
ACAD-1356,Vermilion Flycatcher
ACAD-1357,Eastern Phoebe
ACAD-1357,Phoebe
ACAD-1358,Say's Phoebe
ACAD-1359,Scissor-Tailed Flycatcher
ACAD-1360,Eastern Kingbird
ACAD-1361,Arkansas Kingbird
ACAD-1361,Western Kingbird
ACAD-1362,Yellow-Throated Vireo
ACAD-1363,Eastern Warbling Vireo
ACAD-1363,Warbling Vireo
ACAD-1364,Northern White-Eyed Vireo
ACAD-1364,White-Eyed Vireo
ACAD-1365,Red-Eyed Vireo
ACAD-1366,Philadelphia Vireo
ACAD-1367,Blue-Headed Solitary Vireo
