common_name,Species ID
Common Crow,ACAD-1223
Crow,ACAD-1223
Eastern Crow,ACAD-1223
Common Raven,ACAD-1224
Northern Raven,ACAD-1224
Raven,ACAD-1224
Blue Jay,ACAD-1225
Northern Blue Jay,ACAD-1225
Canada Gray Jay,ACAD-1226
Canada Jay,ACAD-1226
Gray Jay,ACAD-1226
Intermediate SharpTailed Sparrow,ACAD-1227
Saltmarsh SharpTailed Sparrow,ACAD-1227
Le Contes Sparrow,ACAD-1228
Lecontes Sparrow,ACAD-1228
Nelsons SharpTailed Sparrow,ACAD-1229
Eastern Grasshopper Sparrow,ACAD-1230
Grasshopper Sparrow,ACAD-1230
Lark Bunting,ACAD-1231
Eastern Lark Sparrow,ACAD-1232
Lark Sparrow,ACAD-1232
DarkEyed Junco,ACAD-1233
Northern SlateColored Junco,ACAD-1233
SlateColored Junco,ACAD-1233
Eastern Swamp Sparrow,ACAD-1234
Swamp Sparrow,ACAD-1234
Lincolns Sparrow,ACAD-1235
Northern Lincolns Sparrow,ACAD-1235
Eastern Song Sparrow,ACAD-1236
Song Sparrow,ACAD-1236
Eastern Savannah Sparrow,ACAD-1237
Savannah Sparrow,ACAD-1237
Eastern Fox Sparrow,ACAD-1238
Fox Sparrow,ACAD-1238
GreenTailed Towhee,ACAD-1239
Eastern Towhee,ACAD-1240
RedEyed Towhee,ACAD-1240
RufousSided Towhee,ACAD-1240
Spotted Towhee,ACAD-1241
Eastern Vesper Sparrow,ACAD-1242
Vesper Sparrow,ACAD-1242
American Tree Sparrow,ACAD-1243
Eastern Tree Sparrow,ACAD-1243
Tree Sparrow,ACAD-1243
ClayColored Sparrow,ACAD-1244
Chipping Sparrow,ACAD-1245
Eastern Chipping Sparrow,ACAD-1245
Eastern Field Sparrow,ACAD-1246
Field Sparrow,ACAD-1246
WhiteThroated Sparrow,ACAD-1247
GoldenCrowned Sparrow,ACAD-1248
Eastern WhiteCrowned Sparrow,ACAD-1249
WhiteCrowned Sparrow,ACAD-1249
Harris Sparrow,ACAD-1250
Harriss Sparrow,ACAD-1250
Common Redpoll,ACAD-1251
Greater Redpoll,ACAD-1251
Mealy Redpoll,ACAD-1251
Coues Hoary Redpoll,ACAD-1252
Hoary Redpoll,ACAD-1252
Northern Pine Siskin,ACAD-1253
Pine Siskin,ACAD-1253
American Goldfinch,ACAD-1254
Eastern American Goldfinch,ACAD-1254
Eastern Goldfinch,ACAD-1254
Goldfinch,ACAD-1254
House Finch,ACAD-1255
Eastern Purple Finch,ACAD-1256
Purple Finch,ACAD-1256
Eastern Evening Grosbeak,ACAD-1257
Evening Grosbeak,ACAD-1257
Red Crossbill,ACAD-1258
WhiteWinged Crossbill,ACAD-1259
Canadian Pine Grosbeak,ACAD-1260
Newfoundland Pine Grosbeak,ACAD-1260
Pine Grosbeak,ACAD-1260
Barn Swallow,ACAD-1261
Cliff Swallow,ACAD-1262
Eastern Cliff Swallow,ACAD-1262
Eave Swallow,ACAD-1262
Northern Cliff Swallow,ACAD-1262
Northern Purple Martin,ACAD-1263
Purple Martin,ACAD-1263
Bank Swallow,ACAD-1264
Common Bank Swallow,ACAD-1264
Northern RoughWinged Swallow,ACAD-1265
RoughWinged Swallow,ACAD-1265
Tree Swallow,ACAD-1266
Eastern RedWing,ACAD-1267
Eastern RedWinged Blackbird,ACAD-1267
RedWinged Blackbird,ACAD-1267
Bobolink,ACAD-1268
Rusty Blackbird,ACAD-1269
Brewers Blackbird,ACAD-1270
Bullocks Oriole,ACAD-1271
Baltimore Oriole,ACAD-1272
Northern Oriole,ACAD-1272
Orchard Oriole,ACAD-1273
BrownHeaded Cowbird,ACAD-1274
Cowbird,ACAD-1274
Eastern Cowbird,ACAD-1274
Bronzed Grackle,ACAD-1275
Common Grackle,ACAD-1275
Eastern Meadowlark,ACAD-1276
YellowHeaded Blackbird,ACAD-1277
Great Gray Shrike,ACAD-1278
Northern Shrike,ACAD-1278
Loggerhead Shrike,ACAD-1279
Migrant Loggerhead Shrike,ACAD-1279
Migrant Shrike,ACAD-1279
Catbird,ACAD-1280
Gray Catbird,ACAD-1280
Eastern Mockingbird,ACAD-1281
Mockingbird,ACAD-1281
Northern Mockingbird,ACAD-1281
Brown Thrasher,ACAD-1282
Eastern Brown Thrasher,ACAD-1282
